MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;threeGramDice;0.55;NONE;none;1.0;SET;threeGramDice;0.55;NONE;none;1.0;613468138;0.8631154156577885;0.8631154156577885;0.8631154156577885;0.9774011299435028;0.9467213114754098;0.913576244813278;0.9300011293661996;0.9855670103092784;98;266;1010;2141;599;1331;346;62;8;8;0;0.9774011299435028;0.9774011299435028;0.8857142857142857;0.8857142857142857;0.0;411;810;239;59;2;5;0;0.991701244813278;0.9795081967213115;0.921875;0.9672131147540983;0.0
SET;fiveGramDiceNormalized;0.37;NONE;none;1.0;SET;fiveGramDiceNormalized;0.37;NONE;none;1.0;746115044;0.8202582728006456;0.8497846899954011;0.8348909641791914;0.9732770745428975;0.9549180327868854;0.9433824505509094;0.949132716665981;0.9897330595482546;98;266;1010;2141;599;1331;346;59;11;8;161;0.969187675070028;0.9774011299435028;0.8805970149253731;0.8428571428571429;0.12096168294515403;411;810;241;59;2;3;0;0.9917695473251029;0.9877049180327869;0.9516129032258065;0.9672131147540983;0.0
SET;twoShingleDiceNormalized;0.57;NONE;none;1.0;SET;twoShingleDiceNormalized;0.57;NONE;none;1.0;806015508;0.8576271186440678;0.7874610938194753;0.8217955882923093;0.9685714285714285;0.942622950819672;0.8993589743589743;0.920736884379251;0.9834710743801653;98;266;1010;2141;599;1331;339;63;7;15;190;0.9797687861271677;0.9576271186440678;0.8076923076923077;0.9;0.14274981217129978;411;810;238;59;2;6;6;0.9916666666666667;0.9754098360655737;0.9076923076923077;0.9672131147540983;0.007407407407407408
PROFILE;manhattanFiveGramNormalized;0.62;NONE;none;1.0;PROFILE;manhattanFiveGramNormalized;0.62;NONE;none;1.0;1193180209;0.8748991121872478;0.7591036414565826;0.8149473001172965;0.9654178674351586;0.942622950819672;0.8993589743589743;0.920736884379251;0.9834710743801653;98;266;1010;2141;599;1331;335;65;5;19;161;0.9852941176470589;0.9463276836158192;0.7738095238095238;0.9285714285714286;0.12096168294515403;411;810;238;59;2;6;0;0.9916666666666667;0.9754098360655737;0.9076923076923077;0.9672131147540983;0.0
PROFILE;manhattanTokenNormalized;0.55;NONE;none;1.0;PROFILE;manhattanTokenNormalized;0.55;NONE;none;1.0;494229082;0.8546408393866021;0.8265230457011279;0.8404643654256752;0.9730496453900709;0.9344262295081966;0.8721936535808354;0.9027738515910384;0.979253112033195;98;266;1010;2141;599;1331;343;62;8;11;0;0.9772079772079773;0.9689265536723164;0.8493150684931506;0.8857142857142857;0.0;411;810;236;59;2;8;0;0.9915966386554622;0.9672131147540983;0.8805970149253731;0.9672131147540983;0.0
FINGERPRINT;winnowingThreeGramDice;0.42;NONE;none;1.0;FINGERPRINT;winnowingThreeGramDice;0.42;NONE;none;1.0;340557367;0.8174334140435835;0.836748182419035;0.8270344149124358;0.9718309859154929;0.9631147540983607;0.9751700680272108;0.969123666139729;0.9938650306748468;98;266;1010;2141;599;1331;345;59;11;9;167;0.9691011235955056;0.9745762711864406;0.8676470588235294;0.8428571428571429;0.12546957175056347;411;810;243;59;2;1;0;0.9918367346938776;0.9959016393442623;0.9833333333333333;0.9672131147540983;0.0
SET;fourGramJaccardNormalized;0.5;NONE;none;1.0;SET;fourGramJaccardNormalized;0.5;NONE;none;1.0;844355426;0.8549636803874092;0.7352420614263404;0.7928463021372362;0.961038961038961;0.9467213114754098;0.913576244813278;0.9300011293661996;0.9855670103092784;98;266;1010;2141;599;1331;333;64;6;21;108;0.9823008849557522;0.940677966101695;0.7529411764705882;0.9142857142857143;0.0811419984973704;411;810;239;59;2;5;0;0.991701244813278;0.9795081967213115;0.921875;0.9672131147540983;0.0
PROFILE;cosineFourGramNormalizedTermFrequency;0.13;NONE;none;1.0;PROFILE;cosineFourGramNormalizedTermFrequency;0.13;NONE;none;1.0;1204369131;0.797175141242938;0.9443090013862996;0.8676287579126806;0.9791955617198336;0.9631147540983607;0.9751700680272108;0.969123666139729;0.9938650306748468;98;266;1010;2141;599;1331;353;56;14;1;108;0.9618528610354223;0.9971751412429378;0.9824561403508771;0.8;0.0811419984973704;411;810;243;59;2;1;0;0.9918367346938776;0.9959016393442623;0.9833333333333333;0.9672131147540983;0.0
SET;threeGramDiceNormalizedPadding;0.93;NONE;none;1.0;SET;threeGramDiceNormalizedPadding;0.93;NONE;none;1.0;758245675;0.7881355932203391;0.48275862068965525;0.616830002431362;0.8815165876777251;0.918032786885246;0.7530864197530864;0.8314794192830981;0.9572649572649572;98;266;1010;2141;599;1331;279;70;0;75;42;1.0;0.788135593220339;0.4827586206896552;1.0;0.03155522163786627;411;810;224;61;0;20;0;1.0;0.9180327868852459;0.7530864197530864;1.0;0.0
SET;twoShingleJaccardNormalized;0.08;NONE;none;1.0;SET;twoShingleJaccardNormalized;0.08;NONE;none;1.0;827565251;0.8200968523002423;0.917761820891478;0.8675560964424375;0.9790794979079498;0.9631147540983607;0.9751700680272108;0.969123666139729;0.9938650306748468;98;266;1010;2141;599;1331;351;58;12;3;190;0.9669421487603306;0.9915254237288136;0.9508196721311475;0.8285714285714286;0.14274981217129978;411;810;243;59;2;1;6;0.9918367346938776;0.9959016393442623;0.9833333333333333;0.9672131147540983;0.007407407407407408
SET;twoGramDice;0.98;NONE;none;1.0;SET;twoGramDice;0.98;NONE;none;1.0;540657896;0.7231638418079096;0.41666666666666674;0.5489246463950789;0.839344262295082;0.860655737704918;0.6421052631578947;0.7433919416750281;0.9251101321585903;98;266;1010;2141;599;1331;256;70;0;98;0;1.0;0.7231638418079096;0.4166666666666667;1.0;0.0;411;810;210;61;0;34;0;1.0;0.860655737704918;0.6421052631578947;1.0;0.0
