MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
EQUAL;equal;0.69;80910999;0.6648936170212765;0.2578534031413613;0.4140592733847475;0.7987220447284346;0.7588813303099018;0.3476482617586911;0.5136377861522267;0.862913622690159;95;779;3691;12320;2074;7061;1125;197;0;567;0;1.0;0.6648936170212766;0.25785340314136124;1.0;0.0;1617;5259;1004;170;0;319;0;1.0;0.7588813303099018;0.3476482617586912;1.0;0.0
SET;fourGramDiceNormalizedPadding;0.5;6353118845;0.8731684487165641;0.7380448839863067;0.8027686506295072;0.9766606822262118;0.9082477435418612;0.8402810342983604;0.8736036591856212;0.9847908745247149;95;779;3691;12320;2074;7061;1632;179;18;60;80;0.9890909090909091;0.9645390070921985;0.7489539748953975;0.9086294416243654;0.01132983996601048;1617;5259;1295;158;12;28;0;0.9908186687069626;0.9788359788359788;0.8494623655913979;0.9294117647058824;0.0
PROFILE;cosineTokenNormalizedTermFrequency;0.05;3730759529;0.7741476761349317;0.8146345159396131;0.7941331232318398;0.9790868924889543;0.8725267884931749;0.9052078047880436;0.8887170859338019;0.9875612514134942;95;779;3691;12320;2074;7061;1662;156;41;30;0;0.9759248385202584;0.9822695035460993;0.8387096774193549;0.7918781725888325;0.0;1617;5259;1310;150;20;13;0;0.9849624060150376;0.9901738473167044;0.9202453987730062;0.8823529411764706;0.0
SET;threeGramJaccardNormalized;0.18;6525515591;0.8338793486217613;0.8228300769686205;0.8283362895642005;0.9819580005915409;0.8879062736205594;0.8924855646329037;0.8901929745585181;0.9875330562901398;95;779;3691;12320;2074;7061;1660;168;29;32;58;0.9828300769686205;0.9810874704491725;0.84;0.8527918781725888;0.008214133975357599;1617;5259;1307;153;17;16;0;0.9871601208459214;0.9879062736205594;0.9053254437869822;0.9;0.0
SET;tokenDice;0.68;1661190387;0.8603760905305349;0.6032351023327234;0.7204228334914266;0.9603900060938452;0.9038104130541105;0.7073372723413436;0.7995616250692611;0.9718037852452684;95;779;3691;12320;2074;7061;1576;183;14;116;0;0.9911949685534591;0.9314420803782506;0.6120401337792643;0.9289340101522843;0.0;1617;5259;1258;162;8;65;0;0.9936808846761453;0.9508692365835223;0.7136563876651982;0.9529411764705882;0.0
PROFILE;cosineThreeGramNormalizedBool;0.1;9355012742;0.7523130647658134;0.8360193365560926;0.7930625885061003;0.9794480328831474;0.8370681605975723;0.8546544883376761;0.8458156185004377;0.9826415094339622;95;779;3691;12320;2074;7061;1668;151;46;24;58;0.9731621936989499;0.9858156028368794;0.8628571428571429;0.766497461928934;0.008214133975357599;1617;5259;1302;145;25;21;0;0.9811605124340618;0.9841269841269841;0.8734939759036144;0.8529411764705882;0.0
FINGERPRINT;winnowingFiveGramDiceNormalized;0.92;4311476697;0.788311072710036;0.36232777354910595;0.5344408253858743;0.8873563218390805;0.8614156773820638;0.5081304651150593;0.6615977243049977;0.9345118521494576;95;779;3691;12320;2074;7061;1351;195;2;341;80;0.9985218033998522;0.7984633569739953;0.36380597014925375;0.9898477157360406;0.01132983996601048;1617;5259;1163;167;3;160;0;0.9974271012006861;0.8790627362055934;0.5107033639143731;0.9823529411764705;0.0
SET;fourGramJaccard;0.26;5955560764;0.8300902425267909;0.7656710057337672;0.7972302244930725;0.9777117384843983;0.9040416166466585;0.8859376225458158;0.8949438421121275;0.9878879636638909;95;779;3691;12320;2074;7061;1645;169;28;47;76;0.9832635983263598;0.9722222222222222;0.7824074074074074;0.8578680203045685;0.010763347967709957;1617;5259;1305;156;14;18;0;0.9893858984078847;0.9863945578231292;0.896551724137931;0.9176470588235294;0.0
SET;threeGramDiceNormalizedPadding;0.14;6072950214;0.7645864084194356;0.8163248963798615;0.7900322275872335;0.9788110653325485;0.8370681605975723;0.8546544883376761;0.8458156185004377;0.9826415094339622;95;779;3691;12320;2074;7061;1663;154;43;29;58;0.9747948417350527;0.9828605200945626;0.8415300546448088;0.7817258883248731;0.008214133975357599;1617;5259;1302;145;25;21;0;0.9811605124340618;0.9841269841269841;0.8734939759036144;0.8529411764705882;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.73;4359857188;0.8480697459528868;0.5379807783804358;0.6754592674977763;0.9487970388648982;0.9214574718776398;0.7134324761609694;0.8108006449422025;0.9729311678267595;95;779;3691;12320;2074;7061;1538;185;12;154;80;0.9922580645161291;0.9089834515366431;0.5457227138643068;0.9390862944162437;0.01132983996601048;1617;5259;1258;165;5;65;0;0.9960411718131433;0.9508692365835223;0.717391304347826;0.9705882352941176;0.0
FINGERPRINT;winnowingThreeGramDiceNormalized;0.15;4463040455;0.7780417851699846;0.8071584189231249;0.7924663886714252;0.9787735849056604;0.845973945133609;0.8776604086904378;0.8616715374360611;0.9845457972107048;95;779;3691;12320;2074;7061;1660;157;40;32;58;0.9764705882352941;0.9810874704491725;0.8306878306878307;0.7969543147208121;0.008214133975357599;1617;5259;1306;146;24;17;0;0.9819548872180451;0.9871504157218443;0.8957055214723927;0.8588235294117647;0.0
FINGERPRINT;winnowingTwoGramDiceNormalized;0.25;4552536123;0.7977553371494404;0.8086579691633975;0.8031881540638706;0.9796279893711249;0.845973945133609;0.8776604086904378;0.8616715374360611;0.9845457972107048;95;779;3691;12320;2074;7061;1659;161;36;33;0;0.9787610619469026;0.9804964539007093;0.8298969072164949;0.817258883248731;0.0;1617;5259;1306;146;24;17;0;0.9819548872180451;0.9871504157218443;0.8957055214723927;0.8588235294117647;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.32;4385156888;0.809785673998872;0.7592201932921547;0.7840954252759299;0.9765509053131493;0.881103552532124;0.8466228051437605;0.8636911260785765;0.9840788476118272;95;779;3691;12320;2074;7061;1645;165;32;47;80;0.9809183064997018;0.9722222222222222;0.7783018867924528;0.8375634517766497;0.01132983996601048;1617;5259;1298;153;17;25;0;0.9870722433460076;0.981103552532124;0.8595505617977528;0.9;0.0
SET;fourGramDice;0.18;5270403948;0.7905581356277975;0.8279407051785568;0.8090335347167779;0.9805539186800235;0.8569827931172469;0.8749875160022154;0.8659383612049418;0.9849056603773585;95;779;3691;12320;2074;7061;1664;159;38;28;76;0.9776733254994124;0.983451536643026;0.8502673796791443;0.8071065989847716;0.010763347967709957;1617;5259;1305;148;22;18;0;0.9834212509419744;0.9863945578231292;0.891566265060241;0.8705882352941177;0.0
FINGERPRINT;winnowingFiveGramDiceNormalized;0.41;4301501212;0.8161488521678608;0.7129543727232224;0.7628085558946721;0.9728439271859147;0.8993419590058247;0.8207185055344564;0.8591312987894754;0.9828701941377997;95;779;3691;12320;2074;7061;1630;168;29;62;80;0.9825195901145268;0.9633569739952719;0.7304347826086957;0.8527918781725888;0.01132983996601048;1617;5259;1291;157;13;32;0;0.9900306748466258;0.9758125472411187;0.8306878306878307;0.9235294117647059;0.0
SET;threeGramDiceNormalizedPadding;0.73;6062382885;0.8767865500234007;0.6130774071743235;0.7331698471252529;0.9619018591892715;0.922377840024899;0.7407412697279154;0.826585344891219;0.9761171032357473;95;779;3691;12320;2074;7061;1578;186;11;114;58;0.9930774071743235;0.9326241134751773;0.62;0.9441624365482234;0.008214133975357599;1617;5259;1267;164;6;56;0;0.99528672427337;0.9576719576719577;0.7454545454545455;0.9647058823529412;0.0
FINGERPRINT;winnowingFourGramDice;0.77;3122101689;0.8687223242250783;0.5352184006624476;0.6818769485702758;0.9476618148033448;0.9207016139789248;0.7103237491510075;0.8087003291027484;0.972533849129594;95;779;3691;12320;2074;7061;1530;190;7;162;76;0.9954456733897202;0.9042553191489362;0.5397727272727273;0.9644670050761421;0.010763347967709957;1617;5259;1257;165;5;66;0;0.9960380348652932;0.9501133786848073;0.7142857142857143;0.9705882352941176;0.0
SET;twoGramDiceNormalized;0.94;5263976636;0.8264841415559636;0.4067741802116802;0.5798210147445342;0.9077419354838709;0.8892179093859767;0.5601978678229496;0.7057889038997461;0.9471593166468018;95;779;3691;12320;2074;7061;1407;196;1;285;0;0.9992897727272727;0.8315602836879432;0.4074844074844075;0.9949238578680203;0.0;1617;5259;1192;168;2;131;0;0.998324958123953;0.9009826152683296;0.5618729096989966;0.9882352941176471;0.0
SET;twoGramDiceNormalized;0.56;5289102832;0.83846947714536;0.7581681261325781;0.797308492558972;0.9773809523809524;0.896647547908052;0.8743334055928895;0.8854201850979911;0.9867474441499433;95;779;3691;12320;2074;7061;1642;171;26;50;0;0.9844124700239808;0.9704491725768322;0.7737556561085973;0.868020304568528;0.0;1617;5259;1303;155;15;20;0;0.988619119878604;0.9848828420256992;0.8857142857142857;0.9117647058823529;0.0
SET;threeGramJaccardNormalized;0.7;6460992532;0.853355893965031;0.4980128090650924;0.651906562235554;0.9391195753980643;0.9072606820505982;0.6785448257515296;0.7846126696741755;0.968167701863354;95;779;3691;12320;2074;7061;1504;190;7;188;58;0.9953673064195897;0.8888888888888888;0.5026455026455027;0.9644670050761421;0.008214133975357599;1617;5259;1247;164;6;76;0;0.9952114924181963;0.9425547996976569;0.6833333333333333;0.9647058823529412;0.0
SET;twoGramDiceNormalizedPadding;0.93;5291793998;0.8341673566859873;0.41809968903564965;0.5905633856192755;0.9123032444587215;0.8908941354319504;0.5773714845550946;0.7172007177602185;0.9509493670886076;95;779;3691;12320;2074;7061;1420;196;1;272;0;0.9992962702322308;0.8392434988179669;0.4188034188034188;0.9949238578680203;0.0;1617;5259;1202;167;3;121;0;0.9975103734439834;0.90854119425548;0.5798611111111112;0.9823529411764705;0.0
SET;threeGramDiceNormalizedPadding;0.5;6110686446;0.8450756621185391;0.7410006839585415;0.7913290362589731;0.9761336515513126;0.8913565426170469;0.8402067040510977;0.8654038033234258;0.9840546697038723;95;779;3691;12320;2074;7061;1636;173;24;56;58;0.9855421686746988;0.966903073286052;0.7554585152838428;0.8781725888324873;0.008214133975357599;1617;5259;1296;155;15;27;0;0.988558352402746;0.9795918367346939;0.8516483516483516;0.9117647058823529;0.0
PROFILE;manhattanFiveGramNormalized;0.62;10636584269;0.8688933290132124;0.6525245015207841;0.7529768830376408;0.9673321234119782;0.925565781868303;0.7819963786898672;0.850757950101125;0.9804522805672672;95;779;3691;12320;2074;7061;1599;182;15;93;80;0.9907063197026023;0.9450354609929078;0.6618181818181819;0.9238578680203046;0.01132983996601048;1617;5259;1279;163;7;44;0;0.994556765163297;0.9667422524565382;0.7874396135265701;0.9588235294117647;0.0
FINGERPRINT;winnowingThreeGramDiceNormalized;0.94;4412185755;0.7898411155512353;0.36021470067507844;0.5333970200696272;0.8854509545753785;0.8695656040193855;0.5152107481559538;0.6693351517868394;0.9361702127659575;95;779;3691;12320;2074;7061;1345;196;1;347;58;0.9992570579494799;0.7949172576832151;0.36095764272559855;0.9949238578680203;0.008214133975357599;1617;5259;1166;168;2;157;0;0.9982876712328768;0.8813303099017384;0.5169230769230769;0.9882352941176471;0.0
