MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
EQUAL;equal;0.55;29283112;0.7969094922737305;0.4491017964071857;0.5982419949770081;0.886977886977887;0.8992718446601942;0.6570247933884299;0.7686637092629626;0.9469648562300319;100;308;2765;10016;1437;5428;722;150;0;184;0;1.0;0.7969094922737306;0.4491017964071856;1.0;0.0;1328;4588;741;159;0;83;0;1.0;0.8992718446601942;0.6570247933884298;1.0;0.0
EQUAL;equal;0.74;29207501;0.7969094922737305;0.4491017964071857;0.5982419949770081;0.886977886977887;0.8992718446601942;0.6570247933884299;0.7686637092629626;0.9469648562300319;100;308;2765;10016;1437;5428;722;150;0;184;0;1.0;0.7969094922737306;0.4491017964071856;1.0;0.0;1328;4588;741;159;0;83;0;1.0;0.8992718446601942;0.6570247933884298;1.0;0.0
SET;twoGramDiceNormalized;0.52;2158063772;0.9412803532008831;0.8574646074646075;0.8983955635306434;0.9843924191750278;0.9440602674482506;0.9033523225241016;0.9234820167183018;0.9871873093349604;100;308;2765;10016;1437;5428;883;145;5;23;0;0.9943693693693694;0.9746136865342163;0.8630952380952381;0.9666666666666667;0.0;1328;4588;809;153;6;15;0;0.992638036809816;0.9817961165048543;0.9107142857142857;0.9622641509433962;0.0
SET;fourGramDiceNormalizedPadding;0.11;2538817752;0.8912141280353201;0.8912141280353201;0.8912141280353201;0.9845474613686535;0.896394333516517;0.8743708865660085;0.8853141296226913;0.9811320754716981;100;308;2765;10016;1437;5428;892;136;14;14;320;0.9845474613686535;0.9845474613686535;0.9066666666666666;0.9066666666666666;0.058953574060427415;1328;4588;806;146;13;18;0;0.9841269841269841;0.9781553398058253;0.8902439024390244;0.9182389937106918;0.0
SET;threeGramDiceNormalized;0.17;2402030283;0.9134216335540839;0.9083751051919067;0.9108948745405553;0.9872998343456655;0.9140486658118092;0.8746348232544552;0.8941245960537504;0.9823062843197072;100;308;2765;10016;1437;5428;894;139;11;12;194;0.9878453038674033;0.9867549668874173;0.9205298013245033;0.9266666666666666;0.03574060427413412;1328;4588;805;149;10;19;0;0.9877300613496932;0.9769417475728155;0.8869047619047619;0.9371069182389937;0.0
SET;fourGramJaccardNormalizedPadding;0.77;2793566977;0.8784988962472406;0.5991568804576937;0.7255057947122294;0.9417249417249418;0.962378640776699;0.836842105263158;0.8974179448884835;0.9808286951144094;100;308;2765;10016;1437;5428;808;148;2;98;320;0.9975308641975309;0.891832229580574;0.6016260162601627;0.9866666666666667;0.058953574060427415;1328;4588;793;159;0;31;0;1.0;0.962378640776699;0.8368421052631579;1.0;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.44;1909688599;0.9091390728476823;0.7977272727272728;0.8516131945388017;0.9764837625979843;0.9251923429199487;0.8980884641031341;0.9115396701476886;0.9853836784409257;100;308;2765;10016;1437;5428;872;142;8;34;320;0.990909090909091;0.9624724061810155;0.8068181818181818;0.9466666666666667;0.058953574060427415;1328;4588;809;150;9;15;0;0.988997555012225;0.9817961165048543;0.9090909090909091;0.9433962264150944;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.85;2001339618;0.871832229580574;0.596300863131936;0.7210231001882923;0.9411764705882353;0.9498000244244977;0.8325906597082833;0.8892663430753106;0.9796170475602224;100;308;2765;10016;1437;5428;808;147;3;98;320;0.9963008631319359;0.891832229580574;0.6;0.98;0.058953574060427415;1328;4588;793;157;2;31;0;0.9974842767295597;0.962378640776699;0.8351063829787234;0.9874213836477987;0.0
PROFILE;cosineThreeGramNormalizedNormalizedTermFrequency;0.03;3962460473;0.9123178807947019;0.9023055426176061;0.9072979006204126;0.9867403314917127;0.9089729498687182;0.8781023727713793;0.8934043340306345;0.9823278488726386;100;308;2765;10016;1437;5428;893;139;11;13;194;0.9878318584070797;0.9856512141280354;0.9144736842105263;0.9266666666666666;0.03574060427413412;1328;4588;806;148;11;18;0;0.9865361077111383;0.9781553398058253;0.891566265060241;0.9308176100628931;0.0
SET;tokenJaccardNormalized;0.69;2782519233;0.9038852097130243;0.6612761696606895;0.7731220791647188;0.9557216791259344;0.979368932038835;0.9034090909090908;0.9406225579677596;0.9895769466584916;100;308;2765;10016;1437;5428;831;148;2;75;290;0.9975990396158463;0.9172185430463576;0.6636771300448431;0.9866666666666667;0.05342667649226234;1328;4588;807;159;0;17;0;1.0;0.9793689320388349;0.9034090909090909;1.0;0.0
