MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineThreeGramNormalizedBool;0.87;2834448651;0.8448979591836734;0.6000000000000001;0.7119963311072636;0.9159292035398231;0.8717948717948718;0.6621621621621623;0.7597825855266606;0.9315068493150686;17;114;611;1942;340;1134;207;57;0;38;0;1.0;0.8448979591836735;0.6;1.0;0.0;271;808;170;49;0;25;0;1.0;0.8717948717948718;0.6621621621621622;1.0;0.0
PROFILE;cosineFourGramNormalizedNormalizedTermFrequency;0.8;2931688760;0.889795918367347;0.6785714285714286;0.7770393088277818;0.9416846652267818;0.8515960230245945;0.713584144523371;0.7795418010405281;0.9468085106382979;17;114;611;1942;340;1134;218;57;0;27;0;1.0;0.889795918367347;0.6785714285714286;1.0;0.0;271;808;178;46;3;17;0;0.9834254143646409;0.9128205128205128;0.7301587301587301;0.9387755102040817;0.0
SET;twoGramJaccardNormalizedPadding;0.15;2100599634;0.6246330110991765;0.7832450390589925;0.6994574377157703;0.9484126984126985;0.6631083202511774;0.776470588235294;0.7175542540387797;0.9473684210526316;17;114;611;1942;340;1134;239;37;20;6;0;0.9227799227799228;0.9755102040816327;0.8604651162790697;0.6491228070175439;0.0;271;808;189;34;15;6;0;0.9264705882352942;0.9692307692307692;0.85;0.6938775510204082;0.0
FINGERPRINT;winnowingFiveGramDiceNormalized;0.36;1822655631;0.8416756176154672;0.7716649159663866;0.8059103825725266;0.9606625258799173;0.8519099947671376;0.8652210884353742;0.8585397445205416;0.9718670076726342;17;114;611;1942;340;1134;232;51;6;13;0;0.9747899159663865;0.9469387755102041;0.796875;0.8947368421052632;0.0;271;808;190;43;6;5;0;0.9693877551020408;0.9743589743589743;0.8958333333333334;0.8775510204081632;0.0
SET;fiveGramDice;0.33;1764458191;0.7931256713211599;0.762809917355372;0.7778201127464615;0.9568788501026693;0.7958137100994245;0.864090909090909;0.8292498973330179;0.9670886075949366;17;114;611;1942;340;1134;233;48;9;12;0;0.9628099173553719;0.9510204081632653;0.8;0.8421052631578947;0.0;271;808;191;40;9;4;0;0.955;0.9794871794871794;0.9090909090909091;0.8163265306122449;0.0
SET;threeGramDice;0.08;1662364660;0.6246330110991765;0.7832450390589925;0.6994574377157703;0.9484126984126985;0.6631083202511774;0.776470588235294;0.7175542540387797;0.9473684210526316;17;114;611;1942;340;1134;239;37;20;6;0;0.9227799227799228;0.9755102040816327;0.8604651162790697;0.6491228070175439;0.0;271;808;189;34;15;6;0;0.9264705882352942;0.9692307692307692;0.85;0.6938775510204082;0.0
SET;threeGramJaccardNormalizedPadding;0.57;2354097711;0.827783745076978;0.6616300366300365;0.7400585041583063;0.9381663113006395;0.851700680272109;0.7543566926214313;0.8015523116263162;0.9553805774278216;17;114;611;1942;340;1134;220;53;4;25;0;0.9821428571428571;0.8979591836734694;0.6794871794871795;0.9298245614035088;0.0;271;808;182;45;4;13;0;0.978494623655914;0.9333333333333333;0.7758620689655172;0.9183673469387755;0.0
PROFILE;cosineThreeGramNormalizedBool;0.7;2871912982;0.8522735409953455;0.7187198067632852;0.7826530998428585;0.951578947368421;0.8364207221350077;0.7591185410334347;0.7968327793692094;0.9556135770234986;17;114;611;1942;340;1134;226;53;4;19;0;0.9826086956521739;0.9224489795918367;0.7361111111111112;0.9298245614035088;0.0;271;808;183;44;5;12;0;0.973404255319149;0.9384615384615385;0.7857142857142857;0.8979591836734694;0.0
PROFILE;manhattanThreeGramNormalized;0.13;2799843372;0.6678839957035447;0.837478674687977;0.7478894327152343;0.9563492063492064;0.6375719518576661;0.7465686274509804;0.6899211672355186;0.9423558897243107;17;114;611;1942;340;1134;241;39;18;4;0;0.9305019305019305;0.9836734693877551;0.9069767441860465;0.6842105263157895;0.0;271;808;188;33;16;7;0;0.9215686274509803;0.9641025641025641;0.825;0.673469387755102;0.0
PROFILE;cosineFourGramNormalizedNormalizedTermFrequency;0.63;2944525065;0.8428929466523449;0.732163960937986;0.7855799376687719;0.9539748953974895;0.8313971742543171;0.7956730769230769;0.8133390115960774;0.9612403100775193;17;114;611;1942;340;1134;228;52;5;17;0;0.9785407725321889;0.9306122448979591;0.7536231884057971;0.9122807017543859;0.0;271;808;186;43;6;9;0;0.96875;0.9538461538461539;0.8269230769230769;0.8775510204081632;0.0
PROFILE;manhattanFourGramNormalized;0.52;3003140792;0.8306480486931616;0.7004830917874396;0.7627941487293866;0.9473684210526316;0.8007326007326006;0.7558036155289933;0.7779438249035939;0.9533678756476685;17;114;611;1942;340;1134;225;52;5;20;0;0.9782608695652174;0.9183673469387755;0.7222222222222222;0.9122807017543859;0.0;271;808;184;42;7;11;0;0.9633507853403142;0.9435897435897436;0.7924528301886793;0.8571428571428571;0.0
PROFILE;cosineThreeGramNormalizedBool;0.0;2882050838;0.5503759398496242;0.7333969465648855;0.6353298621570479;0.9388560157790927;0.5099947671376244;0.6661654135338346;0.5828729492353605;0.9257425742574258;17;114;611;1942;340;1134;238;33;24;7;0;0.9083969465648855;0.9714285714285714;0.825;0.5789473684210527;0.0;271;808;187;27;22;8;0;0.8947368421052632;0.958974358974359;0.7714285714285715;0.5510204081632653;0.0
EQUAL;equal;0.29;17426069;0.5959183673469388;0.3653846153846154;0.46662554950804946;0.7468030690537085;0.712820512820513;0.4666666666666668;0.5767578110867444;0.8323353293413174;17;114;611;1942;340;1134;146;57;0;99;0;1.0;0.5959183673469388;0.36538461538461536;1.0;0.0;271;808;139;49;0;56;0;1.0;0.7128205128205128;0.4666666666666667;1.0;0.0
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.25;1118739071;0.6515574650912996;0.7591989987484355;0.7033219569474448;0.9480000000000001;0.7549973835688122;0.8503064592173502;0.8012360151295997;0.9622166246851385;17;114;611;1942;340;1134;237;39;18;8;0;0.9294117647058824;0.9673469387755103;0.8297872340425532;0.6842105263157895;0.0;271;808;191;38;11;4;0;0.9455445544554455;0.9794871794871794;0.9047619047619048;0.7755102040816326;0.0
SET;twoGramDiceNormalizedPadding;0.57;2098115625;0.8282133906194056;0.7772849462365592;0.8023451880581095;0.9608247422680413;0.8059654631083202;0.8317312884760772;0.8187470263141733;0.9642857142857143;17;114;611;1942;340;1134;233;50;7;12;0;0.9708333333333333;0.9510204081632653;0.8064516129032258;0.8771929824561403;0.0;271;808;189;41;8;6;0;0.9593908629441624;0.9692307692307692;0.8723404255319149;0.8367346938775511;0.0
SET;threeGramDiceNormalized;0.92;2180627025;0.8122448979591836;0.5533980582524272;0.6704436958880686;0.8963963963963963;0.8410256410256411;0.6125;0.7177243239073099;0.9136490250696379;17;114;611;1942;340;1134;199;57;0;46;0;1.0;0.8122448979591836;0.5533980582524272;1.0;0.0;271;808;164;49;0;31;0;1.0;0.841025641025641;0.6125;1.0;0.0
SET;fourGramJaccardNormalizedPadding;0.73;2369200313;0.8530612244897959;0.6129032258064515;0.7230795089754635;0.920704845814978;0.8666666666666667;0.6533333333333333;0.7524773898411979;0.9285714285714286;17;114;611;1942;340;1134;209;57;0;36;0;1.0;0.8530612244897959;0.6129032258064516;1.0;0.0;271;808;169;49;0;26;0;1.0;0.8666666666666667;0.6533333333333333;1.0;0.0
PROFILE;manhattanFourGramNormalized;0.26;3039234969;0.770282849982098;0.7918292234081707;0.7809817353216125;0.959349593495935;0.744740973312402;0.8086363636363636;0.7760313347477321;0.9569620253164557;17;114;611;1942;340;1134;236;46;11;9;0;0.9554655870445344;0.963265306122449;0.8363636363636363;0.8070175438596491;0.0;271;808;189;38;11;6;0;0.945;0.9692307692307692;0.8636363636363636;0.7755102040816326;0.0
SET;threeGramJaccardNormalized;0.72;2283795420;0.8530612244897959;0.6129032258064515;0.7230795089754635;0.920704845814978;0.8259549973835689;0.6594251336898396;0.7380077808339496;0.9326145552560646;17;114;611;1942;340;1134;209;57;0;36;0;1.0;0.8530612244897959;0.6129032258064516;1.0;0.0;271;808;173;46;3;22;0;0.9829545454545454;0.8871794871794871;0.6764705882352942;0.9387755102040817;0.0
PROFILE;cosineThreeGramNormalizedNormalizedTermFrequency;0.77;2814757238;0.8534908700322235;0.6879653679653681;0.7662715970573362;0.9446808510638299;0.8261643118785975;0.7317389692250649;0.7775195315775547;0.9501312335958005;17;114;611;1942;340;1134;222;54;3;23;0;0.9866666666666667;0.9061224489795918;0.7012987012987013;0.9473684210526315;0.0;271;808;181;44;5;14;0;0.9731182795698925;0.9282051282051282;0.7586206896551724;0.8979591836734694;0.0
SET;twoGramJaccardNormalizedPadding;0.79;2100086662;0.8448979591836734;0.6000000000000001;0.7119963311072636;0.9159292035398231;0.8565149136577708;0.6608527131782944;0.7523497887076267;0.9318801089918256;17;114;611;1942;340;1134;207;57;0;38;0;1.0;0.8448979591836735;0.6;1.0;0.0;271;808;171;48;1;24;0;0.9941860465116279;0.8769230769230769;0.6666666666666666;0.9795918367346939;0.0
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.28;1117794647;0.6866451843895454;0.7734935871581836;0.7287768154780734;0.9518072289156628;0.7549973835688122;0.8503064592173502;0.8012360151295997;0.9622166246851385;17;114;611;1942;340;1134;237;41;16;8;0;0.9367588932806324;0.9673469387755103;0.8367346938775511;0.7192982456140351;0.0;271;808;191;38;11;4;0;0.9455445544554455;0.9794871794871794;0.9047619047619048;0.7755102040816326;0.0
SET;tokenDice;0.24;460577306;0.7784461152882205;0.8237478214745777;0.8007766802323976;0.9635627530364372;0.8110936682365253;0.8509003074220465;0.8307586001062732;0.9669211195928753;17;114;611;1942;340;1134;238;46;11;7;0;0.9558232931726908;0.9714285714285714;0.8679245283018868;0.8070175438596491;0.0;271;808;190;41;8;5;0;0.9595959595959596;0.9743589743589743;0.8913043478260869;0.8367346938775511;0.0
SET;threeGramDiceNormalizedPadding;0.28;2192135740;0.7784461152882205;0.8237478214745777;0.8007766802323976;0.9635627530364372;0.7498691784406071;0.8289945620733543;0.7884398970078041;0.9595959595959596;17;114;611;1942;340;1134;238;46;11;7;0;0.9558232931726908;0.9714285714285714;0.8679245283018868;0.8070175438596491;0.0;271;808;190;38;11;5;0;0.945273631840796;0.9743589743589743;0.8837209302325582;0.7755102040816326;0.0
SET;twoGramDiceNormalizedPadding;0.55;2154762611;0.8363766559255281;0.8044077134986227;0.8202364497001327;0.9650924024640657;0.8315018315018314;0.8580840263527378;0.8446883682724461;0.9693877551020408;17;114;611;1942;340;1134;235;50;7;10;0;0.9710743801652892;0.9591836734693877;0.8333333333333334;0.8771929824561403;0.0;271;808;190;42;7;5;0;0.9644670050761421;0.9743589743589743;0.8936170212765957;0.8571428571428571;0.0
SET;threeGramJaccard;0.83;1838383981;0.8244897959183675;0.5699999999999998;0.6855356910281692;0.9038031319910514;0.8461538461538463;0.620253164556962;0.7244512411328784;0.9166666666666666;17;114;611;1942;340;1134;202;57;0;43;0;1.0;0.8244897959183674;0.57;1.0;0.0;271;808;165;49;0;30;0;1.0;0.8461538461538461;0.620253164556962;1.0;0.0
SET;fourGramJaccard;0.29;1834191196;0.820050125313283;0.7518382352941178;0.7852038200800217;0.9565217391304348;0.8519099947671376;0.8652210884353742;0.8585397445205416;0.9718670076726342;17;114;611;1942;340;1134;231;50;7;14;0;0.9705882352941176;0.9428571428571428;0.78125;0.8771929824561403;0.0;271;808;190;43;6;5;0;0.9693877551020408;0.9743589743589743;0.8958333333333334;0.8775510204081632;0.0
SET;twoGramDiceNormalized;0.91;2052256835;0.8285714285714287;0.5757575757575757;0.6906926067769056;0.90625;0.8512820512820514;0.6282051282051282;0.731286366729454;0.9196675900277007;17;114;611;1942;340;1134;203;57;0;42;0;1.0;0.8285714285714286;0.5757575757575758;1.0;0.0;271;808;166;49;0;29;0;1.0;0.8512820512820513;0.6282051282051282;1.0;0.0
SET;threeGramDiceNormalized;0.98;2216152525;0.7224489795918367;0.45599999999999996;0.5739657957525671;0.8388625592417062;0.8102564102564103;0.5697674418604652;0.6794539882308723;0.8951841359773371;17;114;611;1942;340;1134;177;57;0;68;0;1.0;0.7224489795918367;0.456;1.0;0.0;271;808;158;49;0;37;0;1.0;0.8102564102564103;0.5697674418604651;1.0;0.0
SET;fourGramJaccardNormalizedPadding;0.24;2382226517;0.8282133906194056;0.7772849462365592;0.8023451880581095;0.9608247422680413;0.8162218733647304;0.8709101060859856;0.8431226947021289;0.9695431472081218;17;114;611;1942;340;1134;233;50;7;12;0;0.9708333333333333;0.9510204081632653;0.8064516129032258;0.8771929824561403;0.0;271;808;191;41;8;4;0;0.9597989949748744;0.9794871794871794;0.9111111111111111;0.8367346938775511;0.0
FINGERPRINT;winnowingThreeGramDiceNormalized;1.0;1838082888;0.6367346938775511;0.3904109589041096;0.4985862035839433;0.7780548628428927;0.7589743589743589;0.5104166666666665;0.6224091599528099;0.8629737609329445;17;114;611;1942;340;1134;156;57;0;89;0;1.0;0.636734693877551;0.3904109589041096;1.0;0.0;271;808;148;49;0;47;0;1.0;0.7589743589743589;0.5104166666666666;1.0;0.0
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.45;1114016678;0.7609022556390976;0.8173846153846154;0.788637938201587;0.9616161616161616;0.8315018315018314;0.8580840263527378;0.8446883682724461;0.9693877551020408;17;114;611;1942;340;1134;238;45;12;7;0;0.952;0.9714285714285714;0.8653846153846154;0.7894736842105263;0.0;271;808;190;42;7;5;0;0.9644670050761421;0.9743589743589743;0.8936170212765957;0.8571428571428571;0.0
SET;fiveGramDice;0.43;1812922944;0.820050125313283;0.7518382352941178;0.7852038200800217;0.9565217391304348;0.8519099947671376;0.8652210884353742;0.8585397445205416;0.9718670076726342;17;114;611;1942;340;1134;231;50;7;14;0;0.9705882352941176;0.9428571428571428;0.78125;0.8771929824561403;0.0;271;808;190;43;6;5;0;0.9693877551020408;0.9743589743589743;0.8958333333333334;0.8775510204081632;0.0
SET;fourGramDiceNormalizedPadding;0.55;2255955653;0.8428929466523449;0.732163960937986;0.7855799376687719;0.9539748953974895;0.826268969126112;0.779907142151536;0.8027534306121911;0.9585492227979273;17;114;611;1942;340;1134;228;52;5;17;0;0.9785407725321889;0.9306122448979591;0.7536231884057971;0.9122807017543859;0.0;271;808;185;43;6;10;0;0.9685863874345549;0.9487179487179487;0.8113207547169812;0.8775510204081632;0.0
SET;threeGramJaccard;0.48;1830268658;0.8779806659505907;0.7475763672946771;0.8101589947697329;0.9579831932773109;0.8007326007326006;0.7558036155289933;0.7779438249035939;0.9533678756476685;17;114;611;1942;340;1134;228;54;3;17;0;0.987012987012987;0.9306122448979591;0.7605633802816901;0.9473684210526315;0.0;271;808;184;42;7;11;0;0.9633507853403142;0.9435897435897436;0.7924528301886793;0.8571428571428571;0.0
SET;threeGramDiceNormalizedPadding;0.84;2183123007;0.8530612244897959;0.6129032258064515;0.7230795089754635;0.920704845814978;0.8717948717948718;0.6621621621621623;0.7597825855266606;0.9315068493150686;17;114;611;1942;340;1134;209;57;0;36;0;1.0;0.8530612244897959;0.6129032258064516;1.0;0.0;271;808;170;49;0;25;0;1.0;0.8717948717948718;0.6621621621621622;1.0;0.0
SET;twoGramDiceNormalized;0.02;2028085580;0.6070891514500536;0.7763736263736263;0.6865333247871992;0.9465346534653466;0.6478283621140764;0.7907511497189577;0.7157311102378149;0.9476309226932669;17;114;611;1942;340;1134;239;36;21;6;0;0.9192307692307692;0.9755102040816327;0.8571428571428571;0.631578947368421;0.0;271;808;190;33;16;5;0;0.9223300970873787;0.9743589743589743;0.868421052631579;0.673469387755102;0.0
SET;twoGramDiceNormalizedPadding;0.49;2040672964;0.7568206229860366;0.8008638326892474;0.7785308374000746;0.9595141700404859;0.770277341705913;0.8363636363636364;0.8026406160403751;0.9620253164556962;17;114;611;1942;340;1134;237;45;12;8;0;0.9518072289156626;0.9673469387755103;0.8490566037735849;0.7894736842105263;0.0;271;808;190;39;10;5;0;0.95;0.9743589743589743;0.8863636363636364;0.7959183673469388;0.0
SET;threeGramJaccardNormalized;0.16;2294636036;0.7609022556390976;0.8173846153846154;0.788637938201587;0.9616161616161616;0.7498691784406071;0.8289945620733543;0.7884398970078041;0.9595959595959596;17;114;611;1942;340;1134;238;45;12;7;0;0.952;0.9714285714285714;0.8653846153846154;0.7894736842105263;0.0;271;808;190;38;11;5;0;0.945273631840796;0.9743589743589743;0.8837209302325582;0.7755102040816326;0.0
