MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;manhattanThreeGramNormalized;0.04;968532168;0.7304839439167798;0.8756777271741489;0.799792798008493;0.9692532942898975;0.841753821399839;0.841753821399839;0.8417538213998391;0.9690265486725663;98;266;968;1961;578;1222;331;49;17;4;7;0.9511494252873564;0.9880597014925373;0.9245283018867925;0.7424242424242424;0.0057283142389525366;390;739;219;48;7;7;0;0.9690265486725663;0.9690265486725663;0.8727272727272727;0.8727272727272727;0.0
PROFILE;cosineTwoGramNormalizedBool;0.33;805884213;0.7516056083220262;0.9156931893321578;0.8296023966963529;0.9736842105263158;0.841753821399839;0.841753821399839;0.8417538213998391;0.9690265486725663;98;266;968;1961;578;1222;333;50;16;2;2;0.9541547277936963;0.9940298507462687;0.9615384615384616;0.7575757575757576;0.0016366612111292963;390;739;219;48;7;7;0;0.9690265486725663;0.9690265486725663;0.8727272727272727;0.8727272727272727;0.0
EQUAL;equal;0.47;10986037;0.5850746268656717;0.3219512195121952;0.43401093261005014;0.7382297551789078;0.7964601769911503;0.5445544554455446;0.6585711335652953;0.8866995073891626;98;266;968;1961;578;1222;196;66;0;139;0;1.0;0.5850746268656717;0.32195121951219513;1.0;0.0;390;739;180;55;0;46;0;1.0;0.7964601769911505;0.5445544554455446;1.0;0.0
SET;twoGramJaccardNormalizedPadding;0.36;600777575;0.7518317503392131;0.8355785664019302;0.7925998335376393;0.967551622418879;0.9051488334674174;0.8929365079365079;0.8990219343927042;0.9800443458980044;98;266;968;1961;578;1222;328;51;15;7;2;0.956268221574344;0.9791044776119403;0.8793103448275862;0.7727272727272727;0.0016366612111292963;390;739;221;51;4;5;0;0.9822222222222222;0.9778761061946902;0.9107142857142857;0.9272727272727272;0.0
SET;tokenJaccardNormalized;0.9;687198698;0.7611940298507462;0.452054794520548;0.5866015775246832;0.864406779661017;0.8844730490748189;0.7056482670089859;0.7900170088648724;0.9466357308584686;98;266;968;1961;578;1222;255;66;0;80;50;1.0;0.7611940298507462;0.4520547945205479;1.0;0.04091653027823241;390;739;204;54;1;22;0;0.9951219512195122;0.9026548672566371;0.7105263157894737;0.9818181818181818;0.0
FINGERPRINT;winnowingThreeGramDiceNormalized;0.79;480977387;0.8229760289461783;0.6005280528052805;0.7030079602454516;0.9322834645669291;0.901206757843926;0.8250110472823686;0.862267667900615;0.9707865168539326;98;266;968;1961;578;1222;296;62;4;39;7;0.9866666666666667;0.8835820895522388;0.6138613861386139;0.9393939393939394;0.0057283142389525366;390;739;216;52;3;10;0;0.9863013698630136;0.9557522123893806;0.8387096774193549;0.9454545454545454;0.0
PROFILE;manhattanThreeGramNormalized;0.52;963605799;0.7823609226594301;0.7823609226594301;0.7823609226594301;0.9641791044776119;0.9007240547063555;0.8768796992481203;0.8887219127468707;0.9777777777777777;98;266;968;1961;578;1222;323;54;12;12;7;0.9641791044776119;0.9641791044776119;0.8181818181818182;0.8181818181818182;0.0057283142389525366;390;739;220;51;4;6;0;0.9821428571428571;0.9734513274336283;0.8947368421052632;0.9272727272727272;0.0
SET;twoGramDiceNormalized;0.69;643172068;0.7975124378109453;0.7879613906515328;0.7927225299935701;0.9656203288490285;0.9051488334674174;0.8929365079365079;0.8990219343927042;0.9800443458980044;98;266;968;1961;578;1222;323;55;11;12;2;0.9670658682634731;0.9641791044776119;0.8208955223880597;0.8333333333333334;0.0016366612111292963;390;739;221;51;4;5;0;0.9822222222222222;0.9778761061946902;0.9107142857142857;0.9272727272727272;0.0
SET;threeGramJaccardNormalized;0.73;670883335;0.8505201266395295;0.5874726647922524;0.7068644320209982;0.9265175718849841;0.9056315366049881;0.838822652757079;0.8715872004311822;0.9730941704035874;98;266;968;1961;578;1222;290;65;1;45;7;0.9965635738831615;0.8656716417910447;0.5909090909090909;0.9848484848484849;0.0057283142389525366;390;739;217;52;3;9;0;0.9863636363636363;0.9601769911504425;0.8524590163934426;0.9454545454545454;0.0
PROFILE;cosineThreeGramNormalizedBool;0.86;1090419517;0.8445499773857983;0.5768969352446862;0.698010238904012;0.923076923076923;0.9056315366049881;0.838822652757079;0.8715872004311822;0.9730941704035874;98;266;968;1961;578;1222;288;65;1;47;7;0.9965397923875432;0.8597014925373134;0.5803571428571429;0.9848484848484849;0.0057283142389525366;390;739;217;52;3;9;0;0.9863636363636363;0.9601769911504425;0.8524590163934426;0.9454545454545454;0.0
SET;fiveGramDice;0.88;484658702;0.7938037087290819;0.5001994984040128;0.6301271434698967;0.8929159802306426;0.8613837489943683;0.7181086519114688;0.7864903831381493;0.9495412844036698;98;266;968;1961;578;1222;271;65;1;64;141;0.9963235294117647;0.808955223880597;0.5038759689922481;0.9848484848484849;0.11538461538461539;390;739;207;52;3;19;0;0.9857142857142858;0.915929203539823;0.7323943661971831;0.9454545454545454;0.0
PROFILE;cosineThreeGramNormalizedNormalizedTermFrequency;0.88;994517381;0.823428312980552;0.5594272369714848;0.6787107086047789;0.9181380417335475;0.8879324215607403;0.7861111111111112;0.8354720477099715;0.9638009049773756;98;266;968;1961;578;1222;286;64;2;49;7;0.9930555555555556;0.8537313432835821;0.5663716814159292;0.9696969696969697;0.0057283142389525366;390;739;213;52;3;13;0;0.9861111111111112;0.9424778761061947;0.8;0.9454545454545454;0.0
SET;fourGramDiceNormalizedPadding;0.15;619108084;0.745635459068295;0.8798164158394706;0.8099520461856279;0.9706744868035191;0.8913917940466614;0.9038994942078644;0.8976238587402954;0.9801324503311258;98;266;968;1961;578;1222;331;50;16;4;104;0.9538904899135446;0.9880597014925373;0.9259259259259259;0.7575757575757576;0.0851063829787234;390;739;222;50;5;4;0;0.9779735682819384;0.9823008849557522;0.9259259259259259;0.9090909090909091;0.0
SET;fiveGramDice;0.9;489976247;0.7788783355947535;0.48132930851361166;0.6122883068359672;0.8837209302325582;0.8795655671761866;0.7265417331206805;0.7994004575739627;0.9517241379310345;98;266;968;1961;578;1222;266;65;1;69;141;0.9962546816479401;0.7940298507462686;0.48507462686567165;0.9848484848484849;0.11538461538461539;390;739;207;53;2;19;0;0.9904306220095693;0.915929203539823;0.7361111111111112;0.9636363636363636;0.0
PROFILE;manhattanThreeGramNormalized;0.16;976406419;0.7334690185436454;0.8935970905884947;0.809583708462195;0.9707602339181287;0.8869670152855993;0.8869670152855993;0.8869670152855994;0.9778761061946902;98;266;968;1961;578;1222;332;49;17;3;7;0.9512893982808023;0.991044776119403;0.9423076923076923;0.7424242424242424;0.0057283142389525366;390;739;221;50;5;5;0;0.9778761061946902;0.9778761061946902;0.9090909090909091;0.9090909090909091;0.0
PROFILE;manhattanThreeGramNormalized;0.9;968914676;0.8087290818634103;0.5205834400838476;0.6488535794247464;0.9019607843137253;0.8795655671761866;0.7265417331206805;0.7994004575739627;0.9517241379310345;98;266;968;1961;578;1222;276;65;1;59;7;0.9963898916967509;0.8238805970149253;0.5241935483870968;0.9848484848484849;0.0057283142389525366;390;739;207;53;2;19;0;0.9904306220095693;0.915929203539823;0.7361111111111112;0.9636363636363636;0.0
SET;fourGramDiceNormalizedPadding;0.43;618288267;0.7458616010854815;0.8060117302052787;0.7753535964865246;0.9644970414201183;0.9095736122284794;0.9095736122284794;0.9095736122284794;0.9823008849557522;98;266;968;1961;578;1222;326;51;15;9;104;0.9560117302052786;0.9731343283582089;0.85;0.7727272727272727;0.0851063829787234;390;739;222;51;4;4;0;0.9823008849557522;0.9823008849557522;0.9272727272727272;0.9272727272727272;0.0
PROFILE;cosineThreeGramNormalizedNormalizedTermFrequency;0.96;983163944;0.7552238805970148;0.44594594594594605;0.5803352719194345;0.8605442176870749;0.8711987127916332;0.6785938087479635;0.7688888428697593;0.9392523364485981;98;266;968;1961;578;1222;253;66;0;82;7;1.0;0.755223880597015;0.44594594594594594;1.0;0.0057283142389525366;390;739;201;54;1;25;0;0.995049504950495;0.8893805309734514;0.6835443037974683;0.9818181818181818;0.0
PROFILE;cosineThreeGramNormalizedNormalizedTermFrequency;0.98;1040321199;0.707462686567164;0.4024390243902438;0.5335827896161854;0.8286713286713288;0.8358004827031376;0.615535015997156;0.7172617817025431;0.919047619047619;98;266;968;1961;578;1222;237;66;0;98;7;1.0;0.7074626865671642;0.4024390243902439;1.0;0.0057283142389525366;390;739;193;54;1;33;0;0.9948453608247423;0.8539823008849557;0.6206896551724138;0.9818181818181818;0.0
PROFILE;cosineThreeGramNormalizedBool;0.84;1136636583;0.8261872455902308;0.5841701311160858;0.6947185844519224;0.926984126984127;0.9056315366049881;0.838822652757079;0.8715872004311822;0.9730941704035874;98;266;968;1961;578;1222;292;63;3;43;7;0.9898305084745763;0.8716417910447761;0.5943396226415094;0.9545454545454546;0.0057283142389525366;390;739;217;52;3;9;0;0.9863636363636363;0.9601769911504425;0.8524590163934426;0.9454545454545454;0.0
SET;tokenDice;0.99;147942455;0.6029850746268657;0.3316582914572863;0.44719682425637886;0.7523277467411545;0.8141592920353982;0.5670103092783505;0.6794385270050809;0.8975609756097562;98;266;968;1961;578;1222;202;66;0;133;0;1.0;0.6029850746268657;0.3316582914572864;1.0;0.0;390;739;184;55;0;42;0;1.0;0.8141592920353983;0.5670103092783505;1.0;0.0
PROFILE;cosineThreeGramNormalizedBool;0.48;992097415;0.736680235187698;0.8306813545491636;0.7822701167981001;0.9661266568483063;0.9139983909895415;0.9268232990699952;0.9203885071433661;0.9845474613686535;98;266;968;1961;578;1222;328;50;16;7;7;0.9534883720930233;0.9791044776119403;0.8771929824561403;0.7575757575757576;0.0057283142389525366;390;739;223;51;4;3;0;0.9823788546255506;0.9867256637168141;0.9444444444444444;0.9272727272727272;0.0
