MetricType;Metric;Threshold;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;RuntimeText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;RuntimeCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleConnections;TextBlockVersionCount;PossibleConnectionsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleConnectionsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineTwoGramNormalizedBool;0.4;0.9778464277643693;0.974456378389783;0.9761499314248064;0.9817552961521833;13330120265;0.9810065690591974;0.9807086674813199;0.980857606960596;0.9855693348365276;15133060083;700;3005;14280;42604;8066;24586;5677;18698;120;91;4;0.9792996377436605;0.9842233009708737;0.9951567406461227;0.9936231267934956;1.6269421622061337E-4;6214;18018;4371;13519;65;63;0;0.9853471596032461;0.9857916102841678;0.9953615078780739;0.9952149587750294;0.0
EDIT;optimalAlignmentNormalized;0.6;0.9212838867204343;0.9702419220449963;0.9454460582184046;0.95695929553419;214270167841;0.9625258602415323;0.9826688446598739;0.9725452046248533;0.9790497996565541;195540896622;700;3005;14280;42604;8066;24586;5325;18782;36;443;0;0.9932848349188584;0.9231969486823856;0.9769570871261378;0.9980869380380487;0.0;6214;18018;4276;13559;25;158;0;0.9941873982794699;0.9643662607126748;0.9884814463804039;0.9981595995288575;0.0
SET;threeGramOverlapNormalizedPadding;0.1;0.9774936986734306;0.9689220829108769;0.9731984538370977;0.9795004306632213;10491156997;0.974287488584038;0.9725169466548778;0.9734018150598436;0.9799549549549549;13335779137;700;3005;14280;42604;8066;24586;5686;18662;156;82;355;0.9732968161588497;0.9857836338418863;0.9956252667520273;0.9917100648315442;0.014439111689579436;6214;18018;4351;13489;95;83;0;0.9786324786324786;0.9812810103743798;0.993884468022399;0.9930064782096584;0.0
PROFILE;cosineThreeShingleNormalizedTermFrequency;1.0;0.6925752322893255;0.9129220829690081;0.7951523273400611;0.8181818181818181;15142231225;0.8270278573375347;0.9450312247885977;0.8840628648201326;0.9049204587495375;17139032665;700;3005;14280;42604;8066;24586;3996;18814;4;1772;4519;0.999;0.6927877947295423;0.913922082969008;0.9997874375597832;0.18380379077523795;6214;18018;3669;13578;6;765;1097;0.9983673469387755;0.8274695534506089;0.9466638778498222;0.9995583038869258;0.06088356088356088
SET;fiveGramJaccard;0.3;0.9610075982964932;0.9755705622451967;0.9682617017067319;0.9755541925874004;10251553652;0.9789440255271264;0.9841970071731452;0.9815670023558397;0.9860749462243859;12966708823;700;3005;14280;42604;8066;24586;5567;18740;78;201;825;0.9861824623560673;0.9651525658807212;0.9893880998891293;0.9958550324157721;0.033555682095501506;6214;18018;4355;13540;44;79;0;0.9899977267560809;0.9821831303563374;0.9941992804170644;0.9967608951707891;0.0
SET;threeShingleJaccard;0.8;0.7873696046618686;0.9371463941878773;0.8589997589650444;0.8806201550387597;7163399977;0.8591267327158754;0.9548226664859851;0.9057116968335809;0.9238787878787879;8099663343;700;3005;14280;42604;8066;24586;4544;18810;8;1224;4824;0.9982425307557118;0.7877947295423023;0.9389038634321654;0.9995748751195663;0.1962092247620597;6214;18018;3811;13579;5;623;1786;0.9986897274633124;0.8594948128101038;0.9561329390226728;0.9996319199057715;0.09912309912309912
PROFILE;cosineTwoShingleNormalizedBool;0.6;0.943721053661108;0.972417543029348;0.9579618511747752;0.9673306772908365;14724830388;0.9672024199448208;0.9821330082260538;0.9746391241192434;0.980727563006044;16387804317;700;3005;14280;42604;8066;24586;5463;18754;64;305;2354;0.988420481273747;0.9471220527045769;0.983997061755601;0.996599000956531;0.09574554624583097;6214;18018;4300;13549;35;134;65;0.9919261822376009;0.9697789806044204;0.9902068259884528;0.9974234393404005;0.0036075036075036075
PROFILE;cosineTokenNormalizedNormalizedTermFrequency;0.6;0.9577527543566824;0.9751820376424458;0.9664281052159103;0.9740978136798665;6972939923;0.9742674658238379;0.9846666379731506;0.9794532505736961;0.9844300488691897;7347663961;700;3005;14280;42604;8066;24586;5547;18744;74;221;0;0.9868350827254937;0.9616851595006934;0.9883469549169522;0.996067594855989;0.0;6214;18018;4331;13550;34;103;0;0.9922107674684995;0.9767704104645918;0.992455870504651;0.9974970553592462;0.0
PROFILE;cosineFourGramNormalizedTermFrequency;1.0;0.6743713487941798;0.908257272220395;0.7826255054107235;0.8053399565352376;18438045257;0.8146973236044635;0.9416700036793335;0.8758858554150525;0.8975537066931579;19496068599;700;3005;14280;42604;8066;24586;3891;18814;4;1877;692;0.9989730423620026;0.6745839112343966;0.9092842298583925;0.9997874375597832;0.028146099406166112;6214;18018;3614;13579;5;820;0;0.998618402873722;0.815065403698692;0.9430516008056115;0.9996319199057715;0.0
SET;fiveGramJaccard;0.5;0.9290742559319587;0.9709030117110635;0.9497583867424148;0.9605792437650844;10378595270;0.9675705000390493;0.983281996806427;0.97539461415849;0.9812870835235052;13092172887;700;3005;14280;42604;8066;24586;5373;18772;46;395;825;0.9915113489573723;0.9315187239944521;0.9793916627536913;0.9975555319375067;0.033555682095501506;6214;18018;4300;13554;30;134;0;0.9930715935334873;0.9697789806044204;0.9902104032729399;0.997791519434629;0.0
