metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
threeShingleOverlap;0.9;527;211666372;3094;10000;41;546;615;287027585;3147;10154;27;475
twoGramOverlapNormalizedPadding;0.6;697;439422393;5648;18650;168;114;699;533417823;4345;13491;97;85
damerauLevenshteinNormalized;0.3;699;11755147348;5572;18711;110;193;699;18565848448;4341;13515;73;89
longestCommonSubsequence;0.7;699;5179119209;5144;18782;39;621;699;11675367380;4215;13555;33;215
fourGramJaccardNormalizedPadding;0.8;665;541730208;4541;17423;18;904;699;643497852;4059;13565;23;371
twoGramJaccard;0.7;699;348548517;5273;18773;48;492;699;449626052;4261;13550;38;169
cosineFourGramNormalizedNormalizedTermFrequency;0.9;665;823925973;4560;17425;16;885;699;873303233;4082;13564;24;348
winnowingThreeGramOptimalAlignment;0.6;686;1025452541;5138;18259;39;514;699;3715731943;4233;13552;36;197
winnowingFourGramLongestCommonSubsequence;0.3;674;512851919;5345;17841;80;211;699;2251893533;4343;13523;65;87
fiveGramOverlap;0.7;665;385817413;5264;17362;131;189;699;514792373;4317;13514;74;113
fiveGramOverlapNormalizedPadding;0.3;658;495885391;5296;16967;132;84;697;623393552;4341;13469;93;81
manhattanTwoShingleNormalized;0.6;616;556096917;4456;14437;54;295;692;669946219;4236;13447;46;150
manhattanThreeGramNormalized;0.4;679;773831648;5439;17937;97;156;699;817092957;4350;13527;61;80
winnowingFiveGramOverlapNormalized;0.7;658;325802281;5153;16979;120;227;697;455024904;4289;13489;73;133
fourGramDiceNormalized;0.5;665;474811662;5238;17370;71;207;699;587930373;4336;13530;58;94
winnowingThreeGramJaccard;0.3;686;239476100;5471;18202;96;181;699;367503072;4358;13523;65;72
manhattanTwoGramNormalized;0.4;697;623331468;5597;18697;121;165;699;683871631;4354;13517;71;76
twoGramOverlapNormalizedPadding;0.3;697;444893782;5649;18619;199;113;699;540728357;4333;13467;121;97
winnowingFiveGramOverlap;0.6;665;204286854;5280;17361;132;173;699;355518386;4321;13510;78;109
winnowingThreeGramJaccardNormalized;0.4;679;363900653;5324;17964;70;271;699;481468303;4327;13535;53;103
cosineTwoShingleNormalizedTermFrequency;0.7;616;566818068;4391;14440;51;360;692;678167079;4202;13451;42;184
fourGramOverlapNormalized;0.4;665;474210233;5327;17290;151;118;699;633761285;4318;13478;110;112
threeGramJaccard;0.9;686;418044540;4504;18282;16;1148;699;510467463;3944;13570;18;486
