sample;metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
PostId_VersionCount_SO_17-06_sample_100_1;threeShingleOverlap;0.9;83;10454398;155;327;3;46;89;12926948;109;193;2;20
PostId_VersionCount_SO_17-06_sample_100_1;twoGramOverlapNormalizedPadding;0.6;97;17885690;257;467;4;3;97;26046126;150;233;2;0
PostId_VersionCount_SO_17-06_sample_100_1;damerauLevenshteinNormalized;0.3;97;530702925;253;468;3;7;97;1623978830;147;231;4;3
PostId_VersionCount_SO_17-06_sample_100_1;longestCommonSubsequence;0.7;97;174901007;227;470;1;33;97;716018776;145;233;2;5
PostId_VersionCount_SO_17-06_sample_100_1;fourGramJaccardNormalizedPadding;0.8;97;23712631;208;470;1;52;97;31145590;135;234;1;15
PostId_VersionCount_SO_17-06_sample_100_1;twoGramJaccard;0.7;97;14286202;233;469;2;27;97;20971658;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;cosineFourGramNormalizedNormalizedTermFrequency;0.9;97;36250694;210;470;1;50;97;41181741;136;234;1;14
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramOptimalAlignment;0.6;97;34070937;232;470;1;28;97;371445592;145;233;2;5
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFourGramLongestCommonSubsequence;0.3;97;18598804;253;468;3;7;97;150070285;147;231;4;3
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramOverlap;0.7;96;16186236;241;448;5;10;97;24745757;146;231;4;4
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramOverlapNormalizedPadding;0.3;96;20376964;247;449;4;4;97;35113303;149;233;2;1
PostId_VersionCount_SO_17-06_sample_100_1;manhattanTwoShingleNormalized;0.6;92;24177827;220;436;3;17;96;32289379;141;231;2;6
PostId_VersionCount_SO_17-06_sample_100_1;manhattanThreeGramNormalized;0.4;97;30971020;253;467;4;7;97;37593570;148;233;2;2
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramOverlapNormalized;0.7;96;13431456;241;450;3;10;97;22233187;144;232;3;6
PostId_VersionCount_SO_17-06_sample_100_1;fourGramDiceNormalized;0.5;97;20019461;251;468;3;9;97;28938434;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramJaccard;0.3;97;9914416;253;467;4;7;97;17393800;148;233;2;2
PostId_VersionCount_SO_17-06_sample_100_1;manhattanTwoGramNormalized;0.4;97;24895888;254;467;4;6;97;35564980;149;232;3;1
