metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotalRelative;truePositivesTextRelative;trueNegativesTextRelative;falsePositivesTextRelative;falseNegativesTextRelative;numberOfCodePostsWithThisMetric;runtimeCodeTotalRelative;truePositivesCodeRelative;trueNegativesCodeRelative;falsePositivesCodeRelative;falseNegativesCodeRelative
threeShingleOverlap;0.9;527;401643.9696394687;5.870967741935484;18.975332068311197;0.0777988614800759;1.0360531309297913;615;466711.52032520325;5.117073170731707;16.510569105691058;0.04390243902439024;0.7723577235772358
twoGramOverlapNormalizedPadding;0.6;697;630448.1965566714;8.103299856527977;26.757532281205165;0.24103299856527977;0.16355810616929697;699;763115.626609442;6.216022889842632;19.300429184549355;0.13876967095851217;0.12160228898426323
damerauLevenshteinNormalized;0.3;699;1.6817092057224605E7;7.971387696709585;26.76824034334764;0.15736766809728184;0.2761087267525036;699;2.6560584331902716E7;6.210300429184549;19.334763948497855;0.1044349070100143;0.12732474964234622
longestCommonSubsequence;0.7;699;7409326.47925608;7.3590844062947065;26.869814020028613;0.055793991416309016;0.8884120171673819;699;1.6702957625178827E7;6.030042918454936;19.391988555078683;0.04721030042918455;0.30758226037195996
fourGramJaccardNormalizedPadding;0.8;665;814631.8917293233;6.828571428571428;26.2;0.02706766917293233;1.3593984962406016;699;920597.7854077254;5.8068669527897;19.40629470672389;0.032904148783977114;0.530758226037196
twoGramJaccard;0.7;699;498638.7939914163;7.543633762517882;26.856938483547925;0.06866952789699571;0.703862660944206;699;643241.8483547926;6.09585121602289;19.38483547925608;0.05436337625178827;0.24177396280400573
cosineFourGramNormalizedNormalizedTermFrequency;0.9;665;1238986.4255639098;6.857142857142857;26.203007518796994;0.02406015037593985;1.330827067669173;699;1249360.8483547925;5.839771101573676;19.40486409155937;0.034334763948497854;0.4978540772532189
winnowingThreeGramOptimalAlignment;0.6;686;1494828.7769679301;7.489795918367347;26.61661807580175;0.056851311953352766;0.749271137026239;699;5315782.464949928;6.055793991416309;19.38769670958512;0.05150214592274678;0.28183118741058655
winnowingFourGramLongestCommonSubsequence;0.3;674;760907.8916913946;7.93026706231454;26.47032640949555;0.11869436201780416;0.31305637982195844;699;3221593.037195994;6.213161659513591;19.34620886981402;0.09298998569384835;0.12446351931330472
fiveGramOverlap;0.7;665;580176.5609022556;7.91578947368421;26.108270676691728;0.19699248120300752;0.28421052631578947;699;736469.7753934192;6.175965665236052;19.333333333333332;0.10586552217453506;0.16165951359084407
