"PostId","PostTypeId","CommentId","CreationDate","UserId","OwnerDisplayName"
376732,1,204686,"2008-12-18 02:51:39",39413,
376732,1,629887,"2009-05-04 16:51:58",2859,
376732,1,1663758,"2009-11-22 05:36:46",11339,
3529744,1,3693131,"2010-08-20 10:13:18",289004,
3529744,1,3693152,"2010-08-20 10:15:58",289004,
3529744,1,3693528,"2010-08-20 11:03:12",340355,
3529744,1,3693606,"2010-08-20 11:13:26",4833,
3529744,1,3701699,"2010-08-21 06:46:09",265226,
3529744,1,3701740,"2010-08-21 06:58:13",265226,
3529744,1,3701780,"2010-08-21 07:11:16",265226,
376732,1,8960605,"2011-09-14 10:26:43",1,
8586543,1,10651114,"2011-12-21 09:35:10",524368,
8586543,1,10654782,"2011-12-21 13:06:07",148668,
8586543,1,10654814,"2011-12-21 13:08:25",743214,
8586543,1,10660952,"2011-12-21 17:53:29",734069,
8586543,1,10662541,"2011-12-21 19:20:46",148668,
8687577,1,10803550,"2011-12-31 10:48:38",1076318,
8687577,1,10804442,"2011-12-31 13:03:27",1124186,
8687577,1,10805414,"2011-12-31 14:59:25",1124186,
8687577,1,10898717,"2012-01-05 19:15:01",135133,
11252831,1,14789499,"2012-06-28 21:04:23",,"user405725"
11252831,1,14789808,"2012-06-28 21:19:14",1018943,
11719084,1,15547519,"2012-07-30 09:59:47",440558,
11719084,1,15547524,"2012-07-30 09:59:58",968261,
11767607,1,15626481,"2012-08-01 21:10:38",,"user166390"
11767607,1,15626537,"2012-08-01 21:13:05",,"user166390"
11767607,1,15626549,"2012-08-01 21:13:57",245836,
11767607,1,15626575,"2012-08-01 21:15:00",,"user166390"
11767607,1,15626618,"2012-08-01 21:16:42",177883,
13864443,1,19116147,"2012-12-14 12:53:25",968878,
16245209,1,23241882,"2013-04-26 21:06:33",1907509,
16245209,1,23241962,"2013-04-26 21:09:59",2302167,
16245209,1,23241990,"2013-04-26 21:10:38",2219831,
16245209,1,23242148,"2013-04-26 21:16:55",1907509,
16245209,1,23242319,"2013-04-26 21:12:57",2323527,
18996869,1,28064280,"2013-09-25 05:32:08",1342984,
18996869,1,28064323,"2013-09-25 05:35:09",2813545,
19063366,1,28178113,"2013-09-28 07:45:06",207421,
19063366,1,28178634,"2013-09-28 08:28:57",819916,
20849332,1,31275150,"2013-12-30 23:33:57",1118321,
20849332,1,31275407,"2013-12-30 23:46:08",1476269,
20849332,1,31275501,"2013-12-30 23:52:28",1118321,
20849332,1,31275623,"2013-12-30 23:59:47",1476269,
